12/11/2022 04:29:45 (train:62) INFO: ./model/cmu_arctic\resume_epoch10
12/11/2022 04:36:04 (train:117) INFO: epoch 11, mini-batch 28: MainLoss=0.2958, DALoss=0.0397
12/11/2022 04:36:07 (train:90) INFO: epoch 11, mini-batch 29: IMLoss=0.2681, DALoss=0.0047
12/11/2022 04:36:19 (train:117) INFO: epoch 11, mini-batch 29: MainLoss=0.3034, DALoss=0.0399
12/11/2022 04:36:22 (train:90) INFO: epoch 11, mini-batch 30: IMLoss=0.2635, DALoss=0.0053
12/11/2022 04:36:33 (train:117) INFO: epoch 11, mini-batch 30: MainLoss=0.2973, DALoss=0.0347
12/11/2022 04:36:36 (train:90) INFO: epoch 11, mini-batch 31: IMLoss=0.2655, DALoss=0.0042
12/11/2022 04:36:47 (train:117) INFO: epoch 11, mini-batch 31: MainLoss=0.2992, DALoss=0.0381
12/11/2022 04:36:50 (train:90) INFO: epoch 11, mini-batch 32: IMLoss=0.2653, DALoss=0.0090
12/11/2022 04:37:02 (train:117) INFO: epoch 11, mini-batch 32: MainLoss=0.2989, DALoss=0.0425
12/11/2022 04:37:05 (train:90) INFO: epoch 11, mini-batch 33: IMLoss=0.2678, DALoss=0.0043
12/11/2022 04:37:17 (train:117) INFO: epoch 11, mini-batch 33: MainLoss=0.2987, DALoss=0.0290
12/11/2022 04:37:20 (train:90) INFO: epoch 11, mini-batch 34: IMLoss=0.2659, DALoss=0.0044
12/11/2022 04:37:31 (train:117) INFO: epoch 11, mini-batch 34: MainLoss=0.2996, DALoss=0.0335
12/11/2022 04:37:34 (train:90) INFO: epoch 11, mini-batch 35: IMLoss=0.2647, DALoss=0.0028
12/11/2022 04:37:46 (train:117) INFO: epoch 11, mini-batch 35: MainLoss=0.2993, DALoss=0.0270
12/11/2022 04:37:49 (train:90) INFO: epoch 11, mini-batch 36: IMLoss=0.2614, DALoss=0.0048
12/11/2022 04:38:01 (train:117) INFO: epoch 11, mini-batch 36: MainLoss=0.2948, DALoss=0.0416
12/11/2022 04:38:04 (train:90) INFO: epoch 11, mini-batch 37: IMLoss=0.2627, DALoss=0.0030
12/11/2022 04:38:16 (train:117) INFO: epoch 11, mini-batch 37: MainLoss=0.3026, DALoss=0.0276
12/11/2022 04:38:18 (train:90) INFO: epoch 12, mini-batch 1: IMLoss=0.2582, DALoss=0.0051
12/11/2022 04:38:31 (train:117) INFO: epoch 12, mini-batch 1: MainLoss=0.2908, DALoss=0.0322
12/11/2022 04:38:33 (train:90) INFO: epoch 12, mini-batch 2: IMLoss=0.2584, DALoss=0.0036
12/11/2022 04:38:45 (train:117) INFO: epoch 12, mini-batch 2: MainLoss=0.2939, DALoss=0.0296
12/11/2022 04:38:47 (train:90) INFO: epoch 12, mini-batch 3: IMLoss=0.2569, DALoss=0.0029
12/11/2022 04:39:00 (train:117) INFO: epoch 12, mini-batch 3: MainLoss=0.2895, DALoss=0.0260
12/11/2022 04:39:03 (train:90) INFO: epoch 12, mini-batch 4: IMLoss=0.2597, DALoss=0.0024
12/11/2022 04:39:17 (train:117) INFO: epoch 12, mini-batch 4: MainLoss=0.2920, DALoss=0.0242
12/11/2022 04:39:19 (train:90) INFO: epoch 12, mini-batch 5: IMLoss=0.2557, DALoss=0.0031
12/11/2022 04:39:31 (train:117) INFO: epoch 12, mini-batch 5: MainLoss=0.2869, DALoss=0.0301
12/11/2022 04:39:34 (train:90) INFO: epoch 12, mini-batch 6: IMLoss=0.2571, DALoss=0.0019
12/11/2022 04:39:49 (train:117) INFO: epoch 12, mini-batch 6: MainLoss=0.2946, DALoss=0.0232
12/11/2022 04:39:52 (train:90) INFO: epoch 12, mini-batch 7: IMLoss=0.2573, DALoss=0.0024
12/11/2022 04:40:04 (train:117) INFO: epoch 12, mini-batch 7: MainLoss=0.2921, DALoss=0.0251
12/11/2022 04:40:06 (train:90) INFO: epoch 12, mini-batch 8: IMLoss=0.2564, DALoss=0.0040
12/11/2022 04:40:18 (train:117) INFO: epoch 12, mini-batch 8: MainLoss=0.2906, DALoss=0.0334
12/11/2022 04:40:20 (train:90) INFO: epoch 12, mini-batch 9: IMLoss=0.2575, DALoss=0.0053
12/11/2022 04:40:32 (train:117) INFO: epoch 12, mini-batch 9: MainLoss=0.2918, DALoss=0.0383
12/11/2022 04:40:34 (train:90) INFO: epoch 12, mini-batch 10: IMLoss=0.2586, DALoss=0.0041
12/11/2022 04:40:45 (train:117) INFO: epoch 12, mini-batch 10: MainLoss=0.2921, DALoss=0.0356
